ligand,best_pose_rank,affinity (kcal/mol),Ki_estimated (M),Ki_estimated (uM)
Ligand_control_7DN,1,-7.232,5.05E-06,5.05
Ligand_15,1,-5.896,4.81E-05,48.1
Ligand_14,1,-5.652,7.26E-05,72.6
Ligand_3,1,-5.443,1.03E-04,103
Ligand_13,1,-5.385,1.14E-04,114
Ligand_8,1,-5.371,1.17E-04,117
Ligand_12,1,-5.359,1.19E-04,119
Ligand_7,1,-5.345,1.22E-04,122
Ligand_4,1,-5.235,1.47E-04,147
Ligand_18,1,-5.19,1.58E-04,158
Ligand_20,1,-5.179,1.61E-04,161
Ligand_10,1,-5.164,1.65E-04,165
Ligand_6,1,-5.145,1.71E-04,171
Ligand_19,1,-5.136,1.73E-04,173
Ligand_5,1,-5.102,1.83E-04,183
Ligand_11,1,-5.092,1.87E-04,187
Ligand_16,1,-4.966,2.31E-04,231
Ligand_9,1,-4.852,2.80E-04,280
Ligand_2,1,-4.799,3.06E-04,306
Ligand_17,1,-4.649,3.94E-04,394
Ligand_1,1,-4.617,4.16E-04,416
